Description,Quantity,TotalAmount
DO NOT TOUCH MY STUFF DOOR HANGER ,1171,599.79
DOCTOR'S BAG SOFT TOY,174,1640.1799999999998
DOG AND BALL WALL ART,252,425.87999999999994
DOG BOWL CHASING BALL DESIGN,1339,5220.429999999999
DOG BOWL VINTAGE CREAM,354,1507.92
DOG LICENCE WALL ART,408,2081.64
DOG TOY WITH PINK CROCHET SKIRT,164,615.76
DOGGY RUBBER,192,40.32
DOILEY BISCUIT TIN,120,327.6
DOILEY STORAGE TIN,1082,2934.98
DOILY THANK YOU CARD,703,286.62
DOLLCRAFT BOY JEAN-PAUL ,82,373.9
DOLLCRAFT GIRL AMELIE,36,178.2
DOLLCRAFT GIRL AMELIE KIT,66,294.7
DOLLCRAFT GIRL NICOLE,68,336.6
DOLLY CABINET 2 DRAWERS ,33,412.5
DOLLY CABINET 3 DRAWERS ,51,762.4499999999999
DOLLY GIRL BABY GIFT SET,419,6534.049999999999
DOLLY GIRL CHILDRENS BOWL,1553,1854.8500000000001
DOLLY GIRL CHILDRENS CUP,1548,1880.14
DOLLY GIRL CHILDRENS EGG CUP,904,1131.21
DOLLY GIRL LUNCH BOX,11323,20104.09
DOLLY GIRL MINI BACKPACK,713,2838.9500000000003
DOLLY GIRL MINI RUCKSACK,8,33.2
DOLLY GIRL WALL ART,318,1055.94
DOLLY HONEYCOMB GARLAND,448,403.2
DOLLY MIXTURE CHILDREN'S UMBRELLA,252,822.38
DOLPHIN WINDMILL,1,2.12
DONKEY TAIL GAME ,54,189.54000000000002
DOOR HANGER  MUM + DADS ROOM,187,271.15
DOORKNOB CERAMIC IVORY,36,52.199999999999996
DOORKNOB CRACKED GLAZE BLUE,162,238.49999999999997
DOORKNOB CRACKED GLAZE GREEN,12,19.799999999999997
DOORKNOB CRACKED GLAZE IVORY,174,258.29999999999995
DOORKNOB CRACKED GLAZE PINK,12,19.799999999999997
DOORMAT 3 SMILEY CATS,1104,6690.8
DOORMAT AIRMAIL ,722,4887.82
DOORMAT BLACK FLOCK ,1784,9797.75
DOORMAT CHRISTMAS VILLAGE,568,2991.7
DOORMAT ENGLISH ROSE ,1972,13447.1
DOORMAT FAIRY CAKE,3427,21171.79
DOORMAT FANCY FONT HOME SWEET HOME,3087,19149.07
DOORMAT HEARTS,3268,19924.66
DOORMAT HOME SWEET HOME BLUE ,1595,9619.99
DOORMAT I LOVE LONDON,327,2157.33
DOORMAT KEEP CALM AND COME IN,5338,35880.85
DOORMAT MERRY CHRISTMAS RED ,614,4340.44
DOORMAT MULTICOLOUR STRIPE,1418,8045.2699999999995
DOORMAT NEIGHBOURHOOD WITCH ,253,1645.67
DOORMAT NEW ENGLAND,3698,22783.8
DOORMAT PEACE ON EARTH BLUE,700,3442.04
DOORMAT RED RETROSPOT,3897,25364.85
DOORMAT RESPECTABLE HOUSE,729,4865.19
DOORMAT SPOTTY HOME SWEET HOME,1657,12055.32
DOORMAT TOPIARY,880,5644.46
DOORMAT UNION FLAG,3614,23622.54
DOORMAT UNION JACK GUNS AND ROSES,1157,6619.41
DOORMAT VINTAGE LEAF,541,3766.57
DOORMAT VINTAGE LEAVES DESIGN ,426,2833.7000000000003
DOORMAT WELCOME PUPPIES,2027,11536.25
DOORMAT WELCOME SUNRISE,343,2260.69
DOORMAT WELCOME TO OUR HOME,1376,9451.58
DOORSTOP FOOTBALL DESIGN,134,404.98
DOORSTOP RACING CAR DESIGN,117,232.25
DOORSTOP RETROSPOT HEART,1511,5919.46
DOTCOM POSTAGE,16,11906.36
DOTCOMGIFTSHOP TEA TOWEL,12,19.799999999999997
DOUBLE CERAMIC PARLOUR HOOK,22,91.30000000000001
DOUGHNUT LIP GLOSS ,9642,11615.7
DOVE DECORATION PAINTED ZINC ,2281,667.71
DRAGONS BLOOD INCENSE,349,73.29
DRAWER KNOB CERAMIC BLACK,935,1314.95
DRAWER KNOB CERAMIC IVORY,2035,2863.39
DRAWER KNOB CERAMIC RED,679,943.75
DRAWER KNOB CRACKLE GLAZE BLUE,1079,1751.7899999999997
DRAWER KNOB CRACKLE GLAZE GREEN,1272,2060.3999999999996
DRAWER KNOB CRACKLE GLAZE IVORY,2076,3348.5999999999995
DRAWER KNOB CRACKLE GLAZE PINK,1216,1967.9999999999998
DRAWER KNOB VINTAGE GLASS BALL,317,669.61
DRAWER KNOB VINTAGE GLASS HEXAGON,287,596.96
DRAWER KNOB VINTAGE GLASS STAR,503,1016.97
DROP DIAMANTE EARRINGS BLACK DIAMON,7,20.650000000000002
DROP DIAMANTE EARRINGS CRYSTAL,13,38.35000000000001
DROP DIAMANTE EARRINGS GREEN,6,17.700000000000003
DROP DIAMANTE EARRINGS PURPLE,17,50.150000000000006
DROP EARRINGS W FLOWER & LEAF,2,5.1
DUSTY PINK CHRISTMAS TREE 30CM,1,1.25
DUSTY PINK CHRISTMAS TREE 60CM,9,26.550000000000004
EASTER BUNNY GARLAND OF FLOWERS,477,200.34
EASTER BUNNY HANGING GARLAND,54,67.5
EASTER BUNNY WITH BASKET ON BACK,105,68.25
EASTER BUNNY WREATH,28,138.6
EASTER CRAFT 4 CHICKS ,1813,3355.35
EASTER CRAFT IVY WREATH WITH CHICK,1,1.95
EASTER DECORATION EGG BUNNY ,828,654.7
EASTER DECORATION HANGING BUNNY,1860,562.7
EASTER DECORATION NATURAL CHICK,510,331.50000000000006
EASTER DECORATION SITTING BUNNY,501,407.13
EASTER TIN BUCKET,405,931.95
EASTER TIN BUNNY BOUQUET,1144,1822.7999999999997
EASTER TIN CHICKS IN GARDEN,292,481.79999999999995
EASTER TIN CHICKS PINK DAISY,560,923.9999999999999
EASTER TIN KEEPSAKE,1078,1713.8999999999999
EASTER TREE YELLOW BIRDS,108,642.6
EAU DE NIL LOVE BIRD CANDLE,336,353.72
EAU DE NILE HEART SHAPE PHOTO FRAME,303,471.15
EAU DE NILE JEWELLED PHOTOFRAME,297,522.4499999999999
EAU DE NILE JEWELLED T-LIGHT HOLDER,75,63.75
ECONOMY HOLIDAY PURSE,4,11.8
ECONOMY LUGGAGE TAG,94,139.56
EDWARDIAN DROP EARRINGS JET BLACK,8,30.0
EDWARDIAN HEART PHOTO FRAME,147,610.0500000000001
EDWARDIAN PARASOL BLACK,2779,15218.67
EDWARDIAN PARASOL NATURAL,3822,20672.91
EDWARDIAN PARASOL PINK,767,4242.26
EDWARDIAN PARASOL RED,1630,9055.87
EDWARDIAN PHOTO FRAME,87,543.75
EGG CUP HENRIETTA HEN CREAM ,580,664.52
EGG CUP HENRIETTA HEN PINK,187,233.75
EGG CUP MILKMAID HEIDI,784,919.52
EGG CUP MILKMAID HELGA ,348,435.0
EGG CUP MILKMAID INGRID,587,703.51
EGG CUP NATURAL CHICKEN,840,520.48
EGG FRYING PAN BLUE ,150,312.0
EGG FRYING PAN IVORY ,358,722.5600000000001
EGG FRYING PAN MINT ,169,351.52000000000004
EGG FRYING PAN PINK ,199,415.97
EGG FRYING PAN RED ,405,820.32
EIGHT PIECE CREEPY CRAWLIE SET,6,7.5
EIGHT PIECE DINOSAUR SET,92,115.0
EIGHT PIECE SNAKE  SET,311,388.75
ELEPHANT BIRTHDAY CARD ,1080,449.88
ELEPHANT CARNIVAL POUFFE,38,568.0999999999999
ELEPHANT CLIP W SUCTION CUP,16,6.72
"ELEPHANT, BIRTHDAY CARD, ",2114,859.08
ELVIS WALLHANGING / CURTAIN,48,60.0
EMBOSSED GLASS TEALIGHT HOLDER,2368,2855.59
EMBOSSED HEART TRINKET BOX,221,444.02000000000004
EMBROIDERED RIBBON REEL CLAIRE,219,755.01
EMBROIDERED RIBBON REEL DAISY ,558,1075.3799999999999
EMBROIDERED RIBBON REEL EMILY ,524,1046.42
EMBROIDERED RIBBON REEL RACHEL ,357,954.9300000000001
EMBROIDERED RIBBON REEL REBECCA ,312,860.88
EMBROIDERED RIBBON REEL ROSIE,484,921.46
EMBROIDERED RIBBON REEL RUBY ,165,585.63
EMBROIDERED RIBBON REEL SALLY ,458,909.14
EMBROIDERED RIBBON REEL SOPHIE  ,291,1025.01
EMBROIDERED RIBBON REEL SUSIE ,556,1072.96
EMERGENCY FIRST AID TIN ,890,1102.64
EMPIRE BIRTHDAY CARD,1131,476.25
EMPIRE DESIGN ROSETTE,4236,3596.4199999999996
EMPIRE GIFT WRAP,3350,1363.0
EMPIRE TISSUE BOX,1937,919.6700000000001
EMPIRE UNION JACK TV DINNER TRAY,810,2145.8199999999997
ENAMEL BLUE RIM BISCUIT BIN,89,413.95000000000005
ENAMEL BLUE RIM COFFEE CONTAINER,147,155.03
ENAMEL BLUE RIM TEA CONTAINER,8,9.18
ENAMEL BOWL PANTRY,24,30.0
ENAMEL BREAD BIN CREAM,711,8493.5
ENAMEL COLANDER CREAM,434,2086.11
ENAMEL DINNER PLATE PANTRY,12,19.799999999999997
ENAMEL FIRE BUCKET CREAM,221,1528.73
ENAMEL FLOWER JUG CREAM,1991,11421.130000000001
ENAMEL JUG PANTRY,8,30.0
ENAMEL MEASURING JUG CREAM,1184,4916.04
ENAMEL MUG PANTRY,12,15.0
ENAMEL PINK COFFEE CONTAINER,602,545.38
ENAMEL PINK TEA CONTAINER,388,374.10999999999996
ENAMEL WASH BOWL CREAM,659,2228.05
ENAMEL WATERING CAN CREAM,539,2621.85
ENCHANTED BIRD COATHANGER 5 HOOK,774,3470.5400000000004
ENCHANTED BIRD PLANT CAGE,180,595.8000000000001
ENGLISH ROSE GARDEN SECATEURS,1957,1825.99
ENGLISH ROSE HOT WATER BOTTLE,1414,5729.66
ENGLISH ROSE METAL WASTE BIN,20,59.0
ENGLISH ROSE NOTEBOOK A6 SIZE,398,185.1
ENGLISH ROSE NOTEBOOK A7 SIZE,2729,1147.0
ENGLISH ROSE SCENTED HANGING FLOWER,422,365.5
ENGLISH ROSE SCENTED HANGING HEART,4,17.0
ENGLISH ROSE SMALL SCENTED FLOWER,192,163.2
ENGLISH ROSE SPIRIT LEVEL ,948,860.88
ENVELOPE 50 BLOSSOM IMAGES,947,491.55
ENVELOPE 50 CURIOUS IMAGES,49,26.17
ENVELOPE 50 ROMANTIC IMAGES,6,5.1
ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5856,383.76
ETCHED GLASS COASTER,1536,722.88
EUCALYPTUS & PINECONE  WREATH,311,1118.65
FAIRY CAKE BIRTHDAY CANDLE SET,428,1547.4
FAIRY CAKE DESIGN UMBRELLA,411,1482.87
FAIRY CAKE FLANNEL ASSORTED COLOUR,10070,17291.57
FAIRY CAKE NOTEBOOK A5 SIZE,46,39.1
FAIRY CAKES NOTEBOOK A6 SIZE,1272,762.99
FAIRY CAKES NOTEBOOK A7 SIZE,1684,655.34
FAIRY DREAMS INCENSE ,1025,212.75
FAIRY SOAP SOAP HOLDER,232,392.08
FAIRY TALE COTTAGE NIGHT LIGHT,912,1717.1999999999998
FAIRY TALE COTTAGE NIGHTLIGHT,2016,3352.7999999999997
FAMILY ALBUM WHITE PICTURE FRAME,1074,8408.14
FAMILY PHOTO FRAME CORNICE,836,7636.889999999999
FAN BLACK FRAME ,143,41.47
"FANCY FONT BIRTHDAY CARD, ",4704,1895.76
FANCY FONTS BIRTHDAY WRAP,8550,3409.0
FANNY'S REST STOPMETAL SIGN,421,879.1800000000001
FAUX FUR CHOCOLATE THROW,65,1035.75
FAWN AND MUSHROOM GREETING CARD,108,45.36
FAWN BLUE HOT WATER BOTTLE,2919,9196.050000000001
"FEATHER PEN,COAL BLACK",2438,1170.8999999999999
"FEATHER PEN,HOT PINK",3573,1758.8899999999999
"FEATHER PEN,LIGHT PINK",1924,941.3399999999999
FELT EGG COSY BLUE RABBIT ,410,351.62
FELT EGG COSY CHICKEN,920,785.12
FELT EGG COSY LADYBIRD ,255,124.83
FELT EGG COSY WHITE RABBIT ,514,442.35999999999996
FELT FARM ANIMAL CHICKEN,257,321.25
FELT FARM ANIMAL HEN,384,240.96
FELT FARM ANIMAL RABBIT,722,543.9399999999999
FELT FARM ANIMAL SHEEP,283,194.39
FELT FARM ANIMAL WHITE BUNNY ,1391,517.07
FELT TOADSTOOL  SMALL,542,460.7
FELT TOADSTOOL LARGE,594,706.02
FELTCRAFT 6 FLOWER FRIENDS,5882,11549.59
FELTCRAFT BOY JEAN-PAUL KIT,349,1711.23
FELTCRAFT BUTTERFLY HEARTS,6123,8308.75
FELTCRAFT CHRISTMAS FAIRY,1881,7658.93
FELTCRAFT CUSHION BUTTERFLY,2692,9632.98
FELTCRAFT CUSHION OWL,3277,11756.8
FELTCRAFT CUSHION RABBIT,3012,10672.31
FELTCRAFT DOLL EMILY,1294,3711.5000000000005
FELTCRAFT DOLL MARIA,194,553.1
FELTCRAFT DOLL MOLLY,4464,11748.24
FELTCRAFT DOLL ROSIE,1648,4702.120000000001
FELTCRAFT GIRL AMELIE KIT,982,4799.38
FELTCRAFT GIRL NICOLE KIT,645,3169.79
FELTCRAFT HAIRBAND PINK AND BLUE,796,676.5999999999999
FELTCRAFT HAIRBAND PINK AND PURPLE,828,716.28
FELTCRAFT HAIRBAND RED AND BLUE,842,715.6999999999999
FELTCRAFT HAIRBANDS PINK AND WHITE ,817,711.6099999999999
FELTCRAFT PRINCESS CHARLOTTE DOLL,2210,8022.76
FELTCRAFT PRINCESS LOLA DOLL,1945,7095.69
FELTCRAFT PRINCESS OLIVIA DOLL,1511,5434.85
FENG SHUI PILLAR CANDLE,3317,630.23
FILIGREE DIAMANTE EARRINGS,8,34.0
FILIGREE HEART BIRD WHITE ,1397,1726.3
FILIGREE HEART BUTTERFLY WHITE ,1592,1947.06
FILIGREE HEART DAISY WHITE,1199,1478.59
FILIGRIS HEART WITH BUTTERFLY,3778,4540.38
FINE SILVER NECKLACE W PASTEL FLOWE,13,63.75
FINE WICKER HEART ,2506,2982.02
FIRE POLISHED GLASS BRACELET BLACK,1,3.75
FIRE POLISHED GLASS BRACELET GREEN,14,52.5
FIRE POLISHED GLASS BRACELET MONTAN,6,22.5
FIRE POLISHED GLASS BRACELET RED,6,22.5
FIRE POLISHED GLASS NECKL BRONZE,3,17.85
FIRE POLISHED GLASS NECKL GOLD,1,5.95
FIRST AID TIN,1129,3530.35
FIRST CLASS HOLIDAY PURSE ,11,40.97
FIRST CLASS LUGGAGE TAG ,105,126.69
FIRST CLASS PASSPORT COVER ,66,137.74
FIVE CATS HANGING DECORATION,171,503.37000000000006
FIVE HEART HANGING DECORATION,396,1161.0000000000002
FLAG OF ST GEORGE ,23,37.95
FLAG OF ST GEORGE CAR FLAG,25,10.5
FLAG OF ST GEORGE CHAIR,37,179.35
FLAMES SUNGLASSES PINK LENSES,47,84.44999999999999
FLOOR CUSHION ELEPHANT CARNIVAL,54,461.3
FLOOR LAMP SHADE WOOD BASE,32,287.74
FLORAL BATHROOM SET,20,75.0
FLORAL BLUE MONSTER,5,21.25
FLORAL FOLK STATIONERY SET,1360,1927.3500000000001
FLORAL PINK MONSTER,36,135.0
FLORAL SOFT CAR TOY,32,120.0
FLOWER BLUE CLOCK WITH SUCKER,116,33.64
FLOWER BURST SILVER RING CRYSTAL,10,37.5
FLOWER FAIRY 5 DRAWER LINERS,59,150.45
FLOWER FAIRY 5 SUMMER DRAW LINERS,6,15.299999999999999
FLOWER FAIRY INCENSE BOUQUET,61,32.349999999999994
"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",105,267.75
FLOWER GARLAND NECKLACE RED,6,47.7
"FLOWER GLASS GARLAND NECKL.36""BLACK",11,87.45
"FLOWER GLASS GARLAND NECKL.36""BLUE",6,47.7
"FLOWER GLASS GARLAND NECKL.36""GREEN",4,31.8
"FLOWER GLASS GARLD NECKL36""AMETHYST",7,55.650000000000006
"FLOWER GLASS GARLD NECKL36""TURQUOIS",4,31.8
FLOWER PURPLE CLOCK W/SUCKER,5,4.25
FLOWER PURPLE CLOCK WITH SUCKER,15,4.35
FLOWER SHOP DESIGN MUG,1,1.65
FLOWER VINE RAFFIA FOOD COVER,336,1271.13
FLOWERS  STICKERS,211,191.04999999999998
FLOWERS CHANDELIER T-LIGHT HOLDER,863,2770.91
FLOWERS HANDBAG blue and orange,49,61.25
FLOWERS TILE COASTER,966,322.88
FLOWERS TILE HOOK,57,71.82000000000001
FLUTED ANTIQUE CANDLE HOLDER,2289,1867.9099999999999
FLYING PIG WATERING CAN,186,426.3
FOLDING BUTTERFLY MIRROR HOT PINK ,1838,1427.16
FOLDING BUTTERFLY MIRROR IVORY ,735,597.78
FOLDING BUTTERFLY MIRROR RED  ,1252,961.28
FOLDING CAMPING SCISSOR W/KNIF & S,30,3.5999999999999996
FOLDING MIRROR HOT PINK ,156,118.91999999999999
FOLDING MIRROR IVORY ,18,14.939999999999998
FOLDING MIRROR RED  ,18,14.939999999999998
FOLDING SHOE TIDY,3,8.850000000000001
FOLDING UMBRELLA BLACKBLUE POLKADOT,120,601.22
FOLDING UMBRELLA CHOCOLATE POLKADOT,87,430.06
FOLDING UMBRELLA CREAM POLKADOT,138,677.5
FOLDING UMBRELLA PINKWHITE POLKADOT,84,412.41
FOLDING UMBRELLA RED/WHITE POLKADOT,228,1129.63
FOLDING UMBRELLA WHITE/RED POLKADOT,86,420.1
"FOLK ART GREETING CARD,pack/12",22,64.9
FOLK ART METAL HEART T-LIGHT HOLDER,145,52.760000000000005
FOLK ART METAL STAR T-LIGHT HOLDER,381,150.54000000000002
FOLK FELT HANGING MULTICOL GARLAND,24,90.0
FOLKART CHRISTMAS TREE T-LIGHT HOLD,27,10.260000000000002
FOLKART CLIP ON STARS,621,245.61
FOLKART HEART NAPKIN RINGS,181,181.87
FOLKART STAR CHRISTMAS DECORATIONS,3016,1281.1599999999999
FOLKART ZINC HEART CHRISTMAS DEC,2679,2127.39
FOLKART ZINC STAR CHRISTMAS DEC,12,10.2
FOOD CONTAINER SET 3 LOVE HEART ,1884,3358.72
"FOOD COVER WITH BEADS , SET 2 SIZES",3,11.25
FOOD COVER WITH BEADS SET 2 ,977,3545.17
FOOD/DRINK SPONGE STICKERS,1220,256.2
FOOT STOOL HOME SWEET HOME ,434,4069.9
FORKED CACTUS CANDLE,92,272.98
FOUR HOOK  WHITE LOVEBIRDS,1416,2904.8700000000003
FOUR RABBIT EASTER DECORATIONS,67,83.75
FRAPPUCINO SCARF KNITTING KIT,307,413.83
FREESTYLE CANVAS ART PICTURE,41,39.65
FRENCH BATHROOM SIGN BLUE METAL,1382,2227.62
FRENCH BLUE METAL DOOR SIGN 0,543,678.15
FRENCH BLUE METAL DOOR SIGN 1,1038,1301.14
FRENCH BLUE METAL DOOR SIGN 2,874,1092.51
FRENCH BLUE METAL DOOR SIGN 3,750,939.93
FRENCH BLUE METAL DOOR SIGN 4,646,809.32
FRENCH BLUE METAL DOOR SIGN 5,743,929.97
FRENCH BLUE METAL DOOR SIGN 6,627,785.57
FRENCH BLUE METAL DOOR SIGN 7,618,773.11
FRENCH BLUE METAL DOOR SIGN 8,575,720.57
FRENCH BLUE METAL DOOR SIGN 9,462,576.9
FRENCH BLUE METAL DOOR SIGN No,859,997.2
FRENCH CARRIAGE LANTERN,132,858.9000000000001
FRENCH CHATEAU LARGE FRUIT BOWL ,10,19.5
FRENCH CHATEAU LARGE PLATTER ,70,160.5
FRENCH CHATEAU OVAL PLATTER,15,29.25
FRENCH CHATEAU SMALL FRUITBOWL,24,51.599999999999994
FRENCH ENAMEL CANDLEHOLDER,1541,3087.5200000000004
FRENCH ENAMEL POT W LID,549,1227.41
FRENCH ENAMEL UTENSIL HOLDER,37,122.75
FRENCH ENAMEL WATER BASIN,290,771.21
FRENCH FLORAL CUSHION COVER ,605,541.75
FRENCH GARDEN SIGN BLUE METAL,769,956.83
FRENCH KITCHEN SIGN BLUE METAL,1173,1420.14
FRENCH LATTICE CUSHION COVER ,396,337.71999999999997
FRENCH LAUNDRY SIGN BLUE METAL,918,1463.6599999999999
FRENCH LAVENDER SCENT HEART,965,846.6
FRENCH PAISLEY CUSHION COVER,170,141.1
FRENCH PAISLEY CUSHION COVER ,452,411.84
FRENCH STYLE EMBOSSED HEART CABINET,23,485.9
FRENCH STYLE STORAGE JAR BONBONS,2338,695.06
FRENCH STYLE STORAGE JAR CAFE ,1982,819.4599999999999
FRENCH STYLE STORAGE JAR JAM,317,114.85
FRENCH TOILET SIGN BLUE METAL,1270,1531.71
FRENCH WC SIGN BLUE METAL,1753,2192.74
FRESHWATER PEARL BRACELET GOLD,3,7.6499999999999995
FRIDGE MAGNETS LA VIE EN ROSE,1170,963.3
FRIDGE MAGNETS LES ENFANTS ASSORTED,1269,1031.85
FRIDGE MAGNETS US DINER ASSORTED,1482,1226.3999999999999
FROG CANDLE,61,76.25
FROG KING WATERING CAN,9,26.55
FROG SOCK PUPPET,15,44.25000000000001
FROSTED WHITE BASE ,229,106.44999999999999
FRUIT SALAD BAG CHARM,16,27.04
FRUIT TREE AND BIRDS WALL PLAQUE,16,127.2
FRYING PAN BLUE POLKADOT,108,366.0
FRYING PAN PINK POLKADOT,326,1209.54
FRYING PAN RED POLKADOT ,1,4.25
FRYING PAN RED RETROSPOT,382,1323.0
FRYING PAN UNION FLAG,1199,4727.11
FULL ENGLISH BREAKFAST PLATE,1381,4985.55
FUNKY DIVA PEN,8328,7010.94
FUNKY FLOWER PICNIC BAG FOR 4,2,33.9
FUNKY MONKEY CUSHION COVER,193,164.04999999999998
FUNKY MONKEY GIFT BAG MEDIUM,329,138.18
FUNKY MONKEY MUG,1,1.25
FUNKY WASHING UP GLOVES ASSORTED,941,1917.0600000000002
FUSCHIA FLOWER PURSE WITH BEADS,159,145.17
FUSCHIA RETRO BAR STOOL,14,523.3000000000001
FUSCHIA TABLE RUN FLOWER ,27,38.75
FUSCHIA VOILE POINTY SHOE DEC,97,50.31
GAOLERS KEYS DECORATIVE GARDEN ,926,3400.94
GARAGE KEY FOB,730,489.20000000000005
GARDEN METAL SIGN ,105,173.24999999999997
GARDEN PATH JOURNAL,218,534.46
GARDEN PATH NOTEBOOK ,15,24.75
GARDEN PATH POCKET BOOK,69,58.65
GARDEN PATH SKETCHBOOK,111,414.58
GARDENERS KNEELING PAD CUP OF TEA ,6285,9933.689999999999
GARDENERS KNEELING PAD KEEP CALM ,7722,12463.779999999999
GARDENIA 1 WICK MORRIS BOXED CANDLE,199,631.03
GARDENIA 3 WICK MORRIS BOXED CANDLE,260,677.04
GARLAND WITH HEARTS AND BELLS,217,1032.15
GARLAND WITH STARS AND BELLS,250,1187.1000000000001
GARLAND WOODEN HAPPY EASTER,1762,2147.78
"GARLAND, MAGIC GARDEN 1.8M",12,23.4
"GARLAND, VINTAGE BELLS",92,265.88
GEMSTONE CHANDELIER T-LIGHT HOLDER,78,347.70000000000005
GENTLEMAN SHIRT REPAIR KIT ,1992,1602.7199999999998
GEORGIAN TRINKET BOX,141,1681.5
GIANT 50'S CHRISTMAS CRACKER,2628,6907.52
GIANT MEDINA STAMPED METAL BOWL ,2,19.9
GIFT BAG BIRTHDAY,761,494.83000000000004
GIFT BAG LARGE 50'S CHRISTMAS,24,30.0
GIFT BAG LARGE SPOT ,96,120.0
GIFT BAG LARGE VINTAGE CHRISTMAS,148,185.0
GIFT BAG PSYCHEDELIC APPLES,822,534.6600000000001
GIN & TONIC DIET GREETING CARD ,3217,1320.9
GIN + TONIC DIET METAL SIGN,11501,24944.88
GIN AND TONIC DIET METAL SIGN,474,1118.46
GIN AND TONIC MUG,2845,3715.6099999999997
GINGERBREAD MAN COOKIE CUTTER,7196,8615.130000000001
GINGHAM BABUSHKA DOORSTOP,209,400.87
GINGHAM HEART  DOORSTOP RED,714,2371.2599999999998
GINGHAM HEART DECORATION,5951,4817.33
GINGHAM OVEN GLOVE RED HEART ,3,11.25
GINGHAM RECIPE BOOK BOX,409,1966.95
GINGHAM ROSE WRAP,1825,766.5
GIRAFFE WOODEN RULER,3708,6816.84
GIRLS ALPHABET IRON ON PATCHES ,11040,2088.0
GIRLS VINTAGE TIN SEASIDE BUCKET,1141,2736.75
GIRLY PINK TOOL SET,5,24.75
GLAMOROUS  MUG,1265,1365.73
GLASS  BEURRE DISH,770,2862.2200000000003
GLASS  SONGBIRD STORAGE JAR,165,1965.3
GLASS AND BEADS BRACELET IVORY,6,22.5
GLASS AND PAINTED BEADS BRACELET OL,6,22.5
GLASS AND PAINTED BEADS BRACELET TO,6,22.5
GLASS APOTHECARY BOTTLE ELIXIR,798,2951.78
GLASS APOTHECARY BOTTLE PERFUME,1014,3763.6400000000003
GLASS APOTHECARY BOTTLE TONIC,865,3211.09
GLASS BEAD HOOP EARRINGS AMETHYST,4,11.8
GLASS BEAD HOOP EARRINGS BLACK,4,11.8
GLASS BEAD HOOP NECKLACE AMETHYST,3,25.5
GLASS BEAD HOOP NECKLACE BLACK,2,17.0
GLASS BEAD HOOP NECKLACE GREEN,3,25.5
GLASS BEAD HOOP NECKLACE MONTANA,2,17.0
GLASS BELL JAR LARGE,2,17.0
GLASS BELL JAR SMALL,4,15.8
GLASS BON BON JAR,2135,3495.2699999999995
GLASS BONNE JAM JAR,117,475.95000000000005
GLASS CAKE COVER AND PLATE,2,29.9
GLASS CHALICE BLUE SMALL ,678,369.0
GLASS CHALICE GREEN  LARGE ,186,309.66
GLASS CHALICE GREEN  SMALL ,147,129.51
GLASS CLOCHE LARGE,329,2581.4500000000003
GLASS CLOCHE SMALL,753,2727.95
GLASS HEART T-LIGHT HOLDER ,2828,2097.71
GLASS JAR DAISY FRESH COTTON WOOL,537,1507.3500000000001
GLASS JAR DIGESTIVE BISCUITS,516,1421.1200000000001
GLASS JAR ENGLISH CONFECTIONERY,880,2438.2000000000003
GLASS JAR KINGS CHOICE,161,477.7900000000001
GLASS JAR MARMALADE ,453,1223.99
GLASS JAR PEACOCK BATH SALTS,349,987.23
GLASS SONGBIRD STORAGE JAR,11,126.7
GLASS SPHERE CANDLE STAND MEDIUM,95,510.75
GLASS STAR FROSTED T-LIGHT HOLDER,497,2319.19
GLASS TWIST BON BON JAR,69,512.85
GLITTER BUTTERFLY CLIPS,1010,2489.1
GLITTER CHRISTMAS HEART ,262,222.7
GLITTER CHRISTMAS STAR ,2462,1053.46
GLITTER CHRISTMAS TREE,902,405.14000000000004
GLITTER CHRISTMAS TREE WITH BELLS,573,527.65
GLITTER HANGING BUTTERFLY STRING,1264,2528.3900000000003
GLITTER HEART DECORATION,2434,1056.3400000000001
GLITTER HEART GARLAND WITH BELLS ,288,1068.59
GLITTER SNOW PEAR TREE DECORATION,18,26.099999999999998
GLITTER STAR GARLAND WITH BELLS ,223,825.45
GLOW IN DARK DOLPHINS,128,26.88
GOLD APERITIF GLASS,88,34.32
GOLD COSMETIC BAG PINK STAR,2,4.2
GOLD DIAMANTE STAR BROOCH,6,29.700000000000003
GOLD EAR MUFF HEADPHONES,29,152.13
GOLD FABRIC MIRROR,139,54.21000000000001
GOLD FISHING GNOME,47,284.16
GOLD FLOWER CUSHION COVER ,8,15.6
GOLD M PEARL  ORBIT NECKLACE,8,79.6
GOLD M.O.P ORBIT BRACELET,2,9.9
GOLD M.O.P ORBIT DROP EARRINGS,8,34.0
GOLD M.O.P. ORBIT NECKLACE,2,5.9
GOLD MINI TAPE MEASURE ,916,687.2
GOLD MUG BONE CHINA TREE OF LIFE,729,835.61
GOLD PHOTO FRAME,169,272.34000000000003
GOLD PRINT PAPER BAG,19,3.6100000000000003
GOLD SCROLL GLASS T-LIGHT HOLDER,80,137.22000000000003
GOLD STANDING GNOME,93,290.25
GOLD TEDDY BEAR,12,20.0
GOLD WASHBAG,8,23.6
GOLD WINE GOBLET,160,126.4
GOLD/AMBER DROP EARRINGS W LEAF,6,17.700000000000003
GOLD/M.O.P PENDANT ORBIT NECKLACE,9,76.5
GOLDIE LOOKING MIRROR,16,79.2
GRAND CHOCOLATECANDLE,5783,7758.95
